Date,Pot,SubPot,EC,pH,Leaves Count,Longest Leaf,Plant Height(mm)
16/9/2023,1,27,16,8.2,4,10,16
16/9/2023,1,28,16,8.2,4,15,23
16/9/2023,1,29,16,8.2,5,10,14
16/9/2023,1,30,16,8.2,4,14,22
16/9/2023,1,31,16,8.2,5,18,27
16/9/2023,1,32,16,8.2,4,15,25
16/9/2023,1,33,16,8.2,4,18,28
16/9/2023,1,34,16,8.2,4,16,26
16/9/2023,1,35,16,8.2,5,14,21
16/9/2023,1,36,16,8.2,4,9,16
16/9/2023,1,37,16,8.2,5,11,17
16/9/2023,1,38,16,8.2,5,15,23
16/9/2023,1,39,16,8.2,4,13,20
16/9/2023,1,40,16,8.2,4,16,26
16/9/2023,2,1,16,8.2,3,9,16
16/9/2023,2,2,16,8.2,3,11,17
16/9/2023,2,3,16,8.2,4,13,20
16/9/2023,2,4,16,8.2,4,13,23
16/9/2023,2,5,16,8.2,4,7,13
16/9/2023,2,6,16,8.2,4,13,23
16/9/2023,2,7,16,8.2,4,14,24
16/9/2023,2,8,16,8.2,4,19,31
16/9/2023,2,9,16,8.2,3,7,14
16/9/2023,2,10,16,8.2,3,8,14
16/9/2023,2,11,16,8.2,4,10,19
16/9/2023,2,12,16,8.2,4,12,20
16/9/2023,2,13,16,8.2,3,8,16
16/9/2023,2,14,16,8.2,4,13,20
16/9/2023,2,15,16,8.2,4,16,26
16/9/2023,2,16,16,8.2,4,16,28
16/9/2023,2,17,16,8.2,3,6,14
16/9/2023,2,18,16,8.2,3,9,16
16/9/2023,2,19,16,8.2,4,9,20
16/9/2023,2,20,16,8.2,4,11,22
16/9/2023,2,21,16,8.2,4,9,16
16/9/2023,2,22,16,8.2,4,17,25
16/9/2023,2,23,16,8.2,4,10,16
16/9/2023,2,24,16,8.2,4,10,15
16/9/2023,2,25,16,8.2,3,8,18
16/9/2023,2,26,16,8.2,3,7,15
16/9/2023,2,27,16,8.2,4,9,16
16/9/2023,2,28,16,8.2,4,9,19
16/9/2023,2,29,16,8.2,4,12,20
16/9/2023,2,30,16,8.2,4,8,14
16/9/2023,2,31,16,8.2,4,8,16
16/9/2023,2,32,16,8.2,3,14,23
16/9/2023,2,33,16,8.2,3,11,17
16/9/2023,2,34,16,8.2,4,9,14
16/9/2023,2,35,16,8.2,4,9,19
16/9/2023,2,36,16,8.2,4,13,21
16/9/2023,2,37,16,8.2,4,7,15
16/9/2023,2,38,16,8.2,3,9,17
16/9/2023,2,39,16,8.2,4,8,16
16/9/2023,2,40,16,8.2,4,9,18
