week,Plot,plantHeight,NoOfTiller,NoOfPanicle,NoOfSpikelet,NoOfFilledGrain,NoOfUnfilledGrain,WeightGrain,PreplantHeight,PreNoOfTiller,PreNoOfPanicle,PreNoOfSpikelet,PreNoOfFilledGrain,PreNoOfUnfilledGrain,PreWeightGrain,TarplantHeight,TarNoOfTiller,TarNoOfPanicle,TarNoOfSpikelet,TarNoOfFilledGrain,TarNoOfUnfilledGrain,TarWeightGrain
18,3,0,0,0,0,0,0,0,11.44509,6.869718,10.80309,11.74501,114.7301,80.33104,110.1936,135.4231,12.38803,100.9341,10.3438,186.157,145.5192,135.3892
18,4,0,0,0,0,0,0,0,14.91535,17.2389,158.4744,15.87531,319.2016,206.2885,206.2492,137.2802,12.51925,102.6515,10.42141,188.2209,146.9359,137.4903
18,5,0,0,0,0,0,0,0,11.0678,6.804157,11.7714,10.77934,117.5376,83.52238,121.9406,139.5585,12.66813,103.7956,10.50642,189.8037,148.0871,139.4116
18,6,0,0,0,0,0,0,0,10.62,6.32413,12.19744,12.47599,114.7355,88.70582,121.8593,139.3955,12.67926,103.7791,10.51156,189.9678,148.2606,139.4206
18,7,0,0,0,0,0,0,0,4.358978,2.053861,42.20701,2.510051,87.6615,55.00274,56.16297,139.4314,12.66996,103.7902,10.50815,189.8403,148.1843,139.3381
18,8,0,0,0,0,0,0,0,4.098573,2.217154,47.58792,2.401777,99.79714,48.11435,54.7142,139.3947,12.66233,103.8286,10.50938,189.8329,148.1701,139.3262
19,1,0,0,0,0,0,0,0,16.68534,19.3155,184.2277,14.28205,305.693,233.0455,219.6103,141.1597,12.7965,105.3946,10.64877,192.5569,150.1832,141.5102
19,2,0,0,0,0,0,0,0,16.52473,21.19761,168.8213,15.5576,304.9608,228.76,209.7701,144.3194,13.03205,107.8189,10.88513,196.8433,154.1249,144.6093
19,3,0,0,0,0,0,0,0,11.46662,7.26118,10.94744,13.59205,118.2889,89.12206,122.7905,146.0688,13.17588,108.9964,10.98679,198.6816,155.4548,146.0801
19,4,0,0,0,0,0,0,0,15.86557,17.52888,156.3532,16.52065,313.4148,240.9604,232.1961,147.3429,13.31506,110.3028,11.07813,201.1151,156.8296,147.5545
19,5,0,0,0,0,0,0,0,12.56697,7.685649,11.6289,12.06634,126.1853,83.38905,121.0204,148.3861,13.42399,111.878,11.15448,203.0997,158.398,148.3953
19,6,0,0,0,0,0,0,0,13.35052,7.132704,12.14193,12.48141,125.3821,86.10724,113.976,148.3645,13.41876,111.7841,11.1568,202.9968,158.4195,148.4277
19,7,0,0,0,0,0,0,0,4.386099,2.166323,44.00928,2.369865,105.0477,59.81724,63.43665,148.3746,13.42621,111.8723,11.157,202.924,158.449,148.3908
19,8,0,0,0,0,0,0,0,4.791189,2.239773,48.55499,2.532557,105.8253,56.00166,68.47304,148.4924,13.42692,111.8648,11.15214,203.0387,158.3274,148.4157
20,1,0,0,0,0,0,0,0,16.67471,21.50385,168.2795,14.85427,336.4177,232.0518,230.0793,150.0256,13.53556,113.2653,11.2705,206.0433,160.4939,150.3213
20,2,0,0,0,0,0,0,0,17.48654,21.49132,170.4666,18.03038,337.2826,265.6092,214.6204,152.2371,13.80978,115.6739,11.49602,209.9004,164.2569,152.4508
20,3,0,0,0,0,0,0,0,12.29426,8.10174,12.22836,11.6633,129.5248,83.76825,125.9794,153.8276,13.90013,116.4407,11.59879,211.3287,165.648,153.9127
20,4,0,0,0,0,0,0,0,17.73796,19.21425,166.9018,14.61184,344.7793,254.2821,220.0573,155.2808,14.03889,117.9328,11.72104,213.9579,167.6351,155.6392
20,5,0,0,0,0,0,0,0,12.17829,7.469276,13.56529,13.64861,137.4382,90.52996,121.1385,156.8297,14.17633,118.9977,11.82763,215.7597,168.5606,156.9249
20,6,0,0,0,0,0,0,0,12.57186,8.209905,10.46925,12.78058,129.8036,79.21751,142.7533,156.747,14.19048,119.0854,11.8215,215.758,168.6749,156.9252
